Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify,consistency,consistency_mine,consistency_old
1921_C,1921_C_smiit_100%,codeforces2024,human,qwen2.5-72b-instruct,"Stepan is a very busy person. Today he needs to send n messages at moments
m_1, m_2, \dots m_n (m_i < m_{i + 1} ). Unfortunately, by the moment 0 , his
phone only has f units of charge left. At the moment 0 , the phone is turned
on.

The phone loses a units of charge for each unit of time it is on. Also, at any
moment, Stepan can turn off the phone and turn it on later. This action
consumes b units of energy each time. Consider turning on and off to be
instantaneous, so you can turn it on at moment x and send a message at the
same moment, and vice versa, send a message at moment x and turn off the phone
at the same moment.

If at any point the charge level drops to 0 (becomes \le 0 ), it is impossible
to send a message at that moment.

Since all messages are very important to Stepan, he wants to know if he can
send all the messages without the possibility of charging the phone.

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. This is followed by the descriptions of the test
cases.

The first line of each test case contains four integers n , f , a , and b (1
\le n \le 2 \cdot 10^5 , 1 \le f, a, b \le 10^9 ) — the number of messages,
the initial phone's charge, the charge consumption per unit of time, and the
consumption when turned off and on sequentially.

The second line of each test case contains n integers m_1, m_2, \dots, m_n (1
\le m_i \le 10^9 , m_i < m_{i + 1} ) — the moments at which messages need to
be sent.

It is guaranteed that in a test the sum of n over all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output ""YES"" if Stepan can send all the messages, and ""NO""
otherwise.

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    6
    
    1 3 1 5
    
    3
    
    7 21 1 3
    
    4 6 10 13 17 20 26
    
    5 10 1 2
    
    1 2 3 4 5
    
    1 1000000000 1000000000 1000000000
    
    1000000000
    
    3 11 9 6
    
    6 8 10
    
    12 621526648 2585904 3566299
    
    51789 61859 71998 73401 247675 298086 606959 663464 735972 806043 806459 919683

Output

    NO
    YES
    YES
    NO
    NO
    YES
    
Note

In the first test case of the example, at moment 0 , the phone's charge is 3 .
When sending a message at moment 3 without turning it off, (3 - 0) \cdot 1 = 3
units of charge will be spent. In this case, the charge will drop to 0 and
Stepan will not be able to send the message. When turning off and on, the
phone's charge will decrease by 5 , so it will not be possible to send the
message in this way.

In the third test case of the example, at moment 0 , the phone's charge is 10
. The phone loses 1 unit of charge per unit of time, and when turned off and
on, it loses 2 units of charge. To send all messages, the following actions
can be taken:

  * Turn off the phone at moment 0 and turn it on at moment 1 , after which 10 - 2 = 8 units of charge will remain; 
  * send a message at moment 1 ; 
  * send a message at moment 2 , after which 8 - (2 - 1) \cdot 1 = 7 units of charge will remain; 
  * Turn off the phone at moment 2 and turn it on at moment 3 , after which 7 - 2 = 5 units of charge will remain; 
  * send a message at moment 3 ; 
  * Turn off the phone at moment 3 and turn it on at moment 4 , after which 5 - 2 = 3 units of charge will remain; 
  * send a message at moment 4 ; 
  * Turn off the phone at moment 4 and turn it on at moment 5 , after which 3 - 2 = 1 unit of charge will remain; 
  * send a message at moment 5 . 

The last (sixth) test set of the example may fail if there is an integer
overflow in your solution.","t = int(input())
for _ in range(t):
    n, f, a, b = map(int, input().split())
    arr = [0] + list(map(int, input().split()))
    possible = True
    
    for i in range(1, n + 1):
        time_diff = arr[i] - arr[i-1]
        energy_keep_on = a * time_diff
        energy_turn_off_on = b
        energy_cost = min(energy_keep_on, energy_turn_off_on)
        
        if f <= energy_cost:
            possible = False
            break
        
        f -= energy_cost
    
    print(""YES"" if possible else ""NO"")",2,True,False,False,True,True,True,True,True,False,False,False,True,True,True,0.8389931014872494,0.427218048259897,0.6666666666666666
1928_A,1928_A_41558_100%,codeforces2024,human,qwen2.5-72b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","n = int(input())
for i in range(n):
    a, b = [int(i) for i in input().split()]
    if(a%2!=0 and b%2!=0):
      print(""NO"")
    elif((a/2==b and b%2!=0) or (b/2==a and a%2!=0)):
      print(""NO"")
    else:
      print(""YES"")",2,True,False,False,True,False,True,True,True,False,True,False,True,True,True,0.9558375893284329,0.7584115798610195,0.8333333333333334
1942_A,1942_A_g0dphoenix_100%,codeforces2024,human,qwen2.5-72b-instruct,"[Trade Winds - Patrick Deng](https://soundcloud.com/patrick-
deng-392681004/trade-winds-ft-alex-zhu)

⠀

Let's call an array a sorted if a_1 \leq a_2 \leq \ldots \leq a_{n - 1} \leq
a_{n} .

You are given two of Farmer John's favorite integers, n and k . He challenges
you to find any array a_1, a_2, \ldots, a_{n} satisfying the following
requirements:

  * 1 \leq a_i \leq 10^9 for each 1 \leq i \leq n ; 
  * Out of the n total cyclic shifts of a , exactly k of them are sorted.^\dagger 

If there is no such array a , output -1 .

^\dagger The x -th (1 \leq x \leq n ) cyclic shift of the array a is a_x,
a_{x+1} \ldots a_n, a_1, a_2 \ldots a_{x - 1} . If c_{x, i} denotes the i 'th
element of the x 'th cyclic shift of a , exactly k such x should satisfy
c_{x,1} \leq c_{x,2} \leq \ldots \leq c_{x, n - 1} \leq c_{x, n} .

For example, the cyclic shifts for a = [1, 2, 3, 3] are the following:

  * x = 1 : [1, 2, 3, 3] (sorted); 
  * x = 2 : [2, 3, 3, 1] (not sorted); 
  * x = 3 : [3, 3, 1, 2] (not sorted); 
  * x = 4 : [3, 1, 2, 3] (not sorted). 

Input

The first line contains t (1 \leq t \leq 10^3 ) — the number of test cases.

Each test case contains two integers n and k (1 \leq k \leq n \leq 10^3 ) —
the length of a and the number of sorted cyclic shifts a must have.

It is guaranteed that the sum of n over all test cases does not exceed 10^3 .

Output

For each test case, print a single line:

  * if there is a valid array a , output n integers, representing a_1, a_2, \ldots, a_{n} ; 
  * otherwise, output -1 . 

If there are multiple solutions, print any of them.

Example

Input

    3
    
    2 2
    
    3 1
    
    3 2

Output

    1 1
    69420 69 420
    -1
    
Note

In the first testcase, a = [1, 1] satisfies n = 2, k = 2 :

The two cyclic shifts of a are [a_1, a_2] and [a_2, a_1] , which are both [1,
1] and are sorted.

In the second testcase, a = [69\,420, 69, 420] satisfies n = 3, k = 1 :

The three cyclic shifts of a are [a_1, a_2, a_3] , [a_2, a_3, a_1] , [a_3,
a_1, a_2] , which are [69\,420, 69, 420] , [69, 420, 69\,420] , and [420,
69\,420, 69] , respectively.

Only [69, 420, 69\,420] is sorted.","for _ in range(int(input())):
    n, k = list(map(int, input().split(' ')))
    if n == k: print(('1 ' * n)[:-1])
    elif k == 1: print(' '.join([str(x + 1) for x in range(n)]))
    else: print(-1)",2,True,False,False,True,False,True,True,True,False,False,False,True,True,True,0.9715308129525253,0.8121729689234605,0.9166666666666666
1930_B,1930_B_Adith1000_100%,codeforces2024,human,qwen2.5-72b-instruct,"You are given a positive integer n .

Find a permutation^\dagger p of length n such that there do not exist two
distinct indices i and j (1 \leq i, j < n ; i \neq j ) such that p_i divides
p_j and p_{i+1} divides p_{j+1} .

Refer to the Notes section for some examples.

Under the constraints of this problem, it can be proven that at least one p
exists.

^\dagger A permutation of length n is an array consisting of n distinct
integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a
permutation, but [1,2,2] is not a permutation (2 appears twice in the array),
and [1,3,4] is also not a permutation (n=3 but there is 4 in the array).

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^3 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (3 \leq n \leq
10^5 ) — the length of the permutation p .

It is guaranteed that the sum of n over all test cases does not exceed 10^5 .

Output

For each test case, output p_1, p_2, \ldots, p_n .

If there are multiple solutions, you may output any one of them.

Example

Input

    2
    
    4
    
    3

Output

    4 1 2 3
    1 2 3
    
Note

In the first test case, p=[4,1,2,3] is a valid permutation. However, the
permutation p=[1,2,3,4] is not a valid permutation as we can choose i=1 and
j=3 . Then p_1=1 divides p_3=3 and p_2=2 divides p_4=4 . Note that the
permutation p=[3, 4, 2, 1] is also not a valid permutation as we can choose
i=3 and j=2 . Then p_3=2 divides p_2=4 and p_4=1 divides p_3=2 .

In the second test case, p=[1,2,3] is a valid permutation. In fact, all 6
permutations of length 3 are valid.","for _ in range(int(input())):
    n = int(input())
    a = list(range(1, n + 1)) 
    for i in range(n//2):
        a[2*i+1]=n-i
        a[2*i]=i+1
    if len(a)%2==1:
        a[n-1]=n//2+1
    print(*a)",3,True,False,False,True,True,True,True,True,True,True,True,True,True,True,0.7361250732875099,0.25670919612804916,0.6666666666666666
1973_D,1973_D_SauravMehra_100%,codeforces2024,human,qwen2.5-72b-instruct,"This is an interactive problem.

Fox gave Cat two positive integers n and k . She has a hidden array a_1,
\ldots , a_n of length n , such that 1 \leq a_i \leq n for every i . Now they
are going to play the following game:

For any two integers l, r such that 1 \leq l \leq r \leq n , define f(l, r) =
(r - l + 1) \cdot \max\limits_{x=l}^r a_x . In other words, f(l, r) is equal
to the maximum of the subarray a_l, \ldots, a_r multiplied by its size.

Cat can ask Fox at most 2 n questions about the array. He will tell her two
integers l and x (1 \leq l \leq n, 1 \leq x \leq 10^9 ), and she will tell him
one integer p as the answer — the smallest positive integer r such that f(l,
r) = x , or n+1 if no such r exists.

Now, Cat needs to find the largest value m such that there exists a sequence
c_1, \ldots, c_{k-1} such that 1 \leq c_1 < \ldots < c_{k-1} < n and f(1, c_1)
= f(c_1 + 1, c_2) = \ldots = f(c_{k-1}+1, n) = m . If no such m exists, he
should indicate this and take -1 as the answer. Note that for k = 1 , m is
always equal to f(1, n) .

In other words, the goal is to find the largest m such that you can split the
array into exactly k subarrays (k is the constant given to you in the
beginning of the interaction) so that all the subarrays have the product of
their length and their maximum equal to m , or determine that no such m
exists. Every element should belong in exactly one of the subarrays.

Cat doesn't know what he should do, so he asked you to play the game for him.

Interaction

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^3 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains two positive integers n and k (1
\leq k \leq n \leq 10^4 ) — the length of the hidden array and the number of
subarrays in the desired split.

Now you are allowed to make queries in the following way — print one line of
the form ""\mathtt{?} \ l \ x "" (it must hold that 1 \leq l \leq n , 1 \leq x
\leq 10^9 ) and you will receive the smallest integer r such that l \leq r
\leq n and f(l, r) = x , or n + 1 if no such r exists.

If you want to print the answer, output ""\mathtt{!} \ m "" and you will recieve
1 if your answer is correct and -1 otherwise. In the first case, the
interaction continues with the next test case. Note that printing the answer
doesn't count towards the number of queries made. Please note that you don't
receive the values for the next test case immediately, you will first have to
read whether your answer to the last test case was correct.

If you receive the integer -1 at any moment, it means your program has made an
invalid query, exceeded the query limit, or gave an incorrect answer. Your
program must terminate immediately to receive a Wrong Answer verdict.
Otherwise, you can get an arbitrary verdict because your solution will
continue to read from a closed stream.

After printing a query, do not forget to output end of line and flush the
output. Otherwise, you will get Idleness limit exceeded. To do this, use:

  * fflush(stdout) or cout.flush() in C++; 
  * System.out.flush() in Java; 
  * flush(output) in Pascal; 
  * stdout.flush() in Python; 
  * see documentation for other languages. 

It is guaranteed that the total sum of n over the test cases won't exceed 10^4
.

Hacks

The format of the hacks should be the following: the first line should contain
one integer t (1 \leq t \leq 10^3 ) — the number of test cases. The
description of the test cases should follow.

The first line of each test case should contain two integers n and k (1 \leq k
\leq n \leq 10^4 ) — the length of the array a and the number of subarrays you
want to split it into.

The second line should contain n integers a_1, a_2, \ldots, a_n (1 \leq a_i
\leq n ).

The sum of n over all test cases should not exceed 10^4 .

Example

Input

Copy

    3
    1 1
    
    1
    2 2
    
    1
    
    3
    
    1
    6 3
    
    7
    
    2
    
    3
    
    6
    
    1

Output

Copy

    ! 1
    
    ? 1 1
    
    ? 2 1
    
    ! -1
    
    ? 1 9
    
    ? 1 6
    
    ? 3 6
    
    ? 4 6
    
    ! 6

Note

The hidden arrays in the three testcases are [1] , [1, 2] and [1, 3, 6, 1, 2,
1] . In the second testcase, no split satisfies the constraints, so the answer
is -1 .

The answer for the first query of the third testcase is 7 since no valid r
exists. For the second query of the third testcase, since 2 \cdot \max(1, 3) =
6 , we will get 2 as the answer, since r = 1 doesn't satisfy the constraint.

The sample interaction guessed all three answers (1, -1 and 6 ) correctly, so
it received 1 after each answer.","def check(tar, k, n):
    it = 0
    ind = 0
    while ind < n and it < k:
        print(f""? {ind + 1} {tar}"")
        x = int(input())
        if x == n + 1:
            return False
        ind = x
        it += 1
    return ind == n and it == k
 
 
T = int(input())
for _ in range(0, T):
    n, k = map(int, input().split())
    mx = 1
    while True:
        print(f""? 1 {n * mx}"")
        x = int(input())
        if x == n:
            break
        mx += 1
    tar = (n // k) * mx
    while tar > 0:
        if check(tar, k, n):
            break
        tar -= mx
    if tar <= 0:
        print(""! -1"")
    else:
        print(f""! {tar}"")
    x = int(input())
    if x == -1:
        exit(0)",3,True,False,True,True,True,True,True,True,True,True,True,True,True,True,0.9775825779680035,0.7811747857842902,0.9166666666666666
1946_E,1946_E_freeskyljy_100%,codeforces2024,human,qwen2.5-72b-instruct,"Some permutation of length n is guessed.

You are given the indices of its prefix maximums and suffix maximums.

Recall that a permutation of length k is an array of size k such that each
integer from 1 to k occurs exactly once.

Prefix maximums are the elements that are the maximum on the prefix ending at
that element. More formally, the element a_i is a prefix maximum if a_i > a_j
for every j < i .

Similarly, suffix maximums are defined, the element a_i is a suffix maximum if
a_i > a_j for every j > i .

You need to output the number of different permutations that could have been
guessed.

As this number can be very large, output the answer modulo 10^9 + 7 .

Input

Each test consists of several test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. Then follows the
description of the test cases.

The first line of each test case contains three integers n, m_1 and m_2 (1 \le
m_1, m_2 \le n \le 2 \cdot 10^5 ) — the length of the permutation, the number
of prefix maximums, and the number of suffix maximums, respectively.

The second line of each test case contains m_1 integers p_1 < p_2 < \ldots <
p_{m_1} (1 \le p_i \le n ) — the indices of the prefix maximums in increasing
order.

The third line of each test case contains m_2 integers s_1 < s_2 < \ldots <
s_{m_2} (1 \le s_i \le n ) — the indices of the suffix maximums in increasing
order.

It is guaranteed that the sum of the values of n for all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output a single integer on a separate line — the number of
suitable permutations modulo 10^9 + 7 .

Example

Input

    6
    
    1 1 1
    
    1
    
    1
    
    4 2 3
    
    1 2
    
    2 3 4
    
    3 3 1
    
    1 2 3
    
    3
    
    5 3 4
    
    1 2 3
    
    2 3 4 5
    
    20 5 4
    
    1 2 3 4 12
    
    12 13 18 20
    
    6 2 3
    
    1 3
    
    3 4 6

Output

    1
    3
    1
    0
    317580808
    10
    
Note

The following permutations are suitable for the second set of input data:

  * [1, 4, 3, 2] 
  * [2, 4, 3, 1] 
  * [3, 4, 2, 1] 

The following permutations are suitable for the sixth set of input data:

  * [2, 1, 6, 5, 3, 4] 
  * [3, 1, 6, 5, 2, 4] 
  * [3, 2, 6, 5, 1, 4] 
  * [4, 1, 6, 5, 2, 3] 
  * [4, 2, 6, 5, 1, 3] 
  * [4, 3, 6, 5, 1, 2] 
  * [5, 1, 6, 4, 2, 3] 
  * [5, 2, 6, 4, 1, 3] 
  * [5, 3, 6, 4, 1, 2] 
  * [5, 4, 6, 3, 1, 2]","import sys
import math
input = sys.stdin.readline
MOD = int(1e9+7)
 
def comb(n1, n2):
    if n1 == n2:
        return 1
    if n2 == 0:
        return 1
    f1 = 1
    f2 = 1
    f3 = 1
    for i in range(1, n1+1):
        if i == n2+1:
            f2 = f1
        if i == n1 - n2 + 1:
            f3 = f1
        f1 = (f1*i)%MOD
    a = pow((f2*f3)%MOD, -1, MOD)
    return (f1*a)%MOD
 
def solve():
    N, M1, M2 = map(int, input().split())
    L = list(map(int, input().split()))
    R = list(map(int, input().split()))
    # if N == 1:
    #     return 1
    if L[-1] != R[0]:
        return 0
    if L[0] != 1 or R[-1] != N:
        return 0
    if M1 > 1 and M2 > 1 and L[-2] == R[1]:
        return 0
    ans = comb(N-1, L[-1]-1)
    # left
    cur = M1 - 2
    if M1 > 1:
        nums_left = L[-1] - 2
        i = L[-1] - 1
        while i > 1:
            if i == L[cur]:
                cur -= 1
            else:
                ans = (ans*nums_left)%MOD
            nums_left -= 1
            i -= 1
    # right
    nums_left = N - R[0] - 1
    if M2 > 1:
        cur = 1
        i = R[0] + 1
        while i < N:
            if i == R[cur]:
                cur += 1
            else:
                ans = (ans*nums_left)%MOD
            nums_left -= 1
            i += 1
    return ans
 
for _ in range(int(input())):
    print(solve())",3,True,False,True,True,True,True,True,True,True,True,True,True,True,True,0.766134908904045,0.2978101103584116,0.6666666666666666
1932_A,1932_A_5styui_100%,codeforces2024,human,qwen2.5-72b-instruct,"During your journey through computer universes, you stumbled upon a very
interesting world. It is a path with n consecutive cells, each of which can
either be empty, contain thorns, or a coin. In one move, you can move one or
two cells along the path, provided that the destination cell does not contain
thorns (and belongs to the path). If you move to the cell with a coin, you
pick it up.

![](https://espresso.codeforces.com/34bd88a4aba4a1ae98e5681455c4a47900b7b9a8.png)
Here, green arrows correspond to legal moves, and the red arrow corresponds to
an illegal move.

You want to collect as many coins as possible. Find the maximum number of
coins you can collect in the discovered world if you start in the leftmost
cell of the path.

Input

The first line of input contains a single integer t (1 \le t \le 1000 ) — the
number of test cases. Then the descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 50 )
— the length of the path.

The second line of each test case contains a string of n characters, the
description of the path. The character '.' denotes an empty cell, '@' denotes
a cell with a coin, and '*' denotes a cell with thorns. It is guaranteed that
the first cell is empty.

Output

For each test case, output a single integer, the maximum number of coins you
can collect.

Example

Input

    3
    
    10
    
    .@@*@.**@@
    
    5
    
    .@@@@
    
    15
    
    .@@..@***..@@@*

Output

    3
    4
    3
    
Note

The picture for the first example is in the problem statement.

Here is the picture for the second example:

![](https://espresso.codeforces.com/68fd7116585f37e79535fbc164a552cc8e148b75.png)

And here is the picture for the third example:

![](https://espresso.codeforces.com/1695fc45669a1bf1d6e1b3d4901cdd3cda38273c.png)","a = int(input())
s = 0
 
for i in range(a):
    d = int(input()) 
    b = input()
    for j in range(len(b)):
        if b[j] == '@':
            s = s+1
        elif b[j] == '*':
            if j==len(b) - 1:
                break
            elif b[j+1] == '*':
                break
            
    print(s)
    s = 0",3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
1928_A,1928_A_43395_100%,codeforces2024,human,qwen2.5-72b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","for i in range(int(input())):
    a, b = [int(i) for i in input().split()]
    if(a%2==0 and b%2==0):
      print('yes')
    elif(a%2==0 and a/2!=b) or (b%2==0 and b/2!=a):
      print('yes') 
    else:
      print('no')",3,True,False,False,True,False,True,True,True,True,True,False,True,True,True,0.9436110836954044,0.6734982880368984,0.8333333333333334
1921_B,1921_B_gogorya_100%,codeforces2024,human,qwen2.5-72b-instruct,"In order to test the hypothesis about the cats, the scientists must arrange
the cats in the boxes in a specific way. Of course, they would like to test
the hypothesis and publish a sensational article as quickly as possible,
because they are too engrossed in the next hypothesis about the phone's
battery charge.

Scientists have n boxes in which cats may or may not sit. Let the current
state of the boxes be denoted by the sequence b_1, \dots, b_n : b_i = 1 if
there is a cat in box number i , and b_i = 0 otherwise.

Fortunately, the unlimited production of cats has already been established, so
in one day, the scientists can perform one of the following operations:

  * Take a new cat and place it in a box (for some i such that b_i = 0 , assign b_i = 1 ). 
  * Remove a cat from a box and send it into retirement (for some i such that b_i = 1 , assign b_i = 0 ). 
  * Move a cat from one box to another (for some i, j such that b_i = 1, b_j = 0 , assign b_i = 0, b_j = 1 ). 

It has also been found that some boxes were immediately filled with cats.
Therefore, the scientists know the initial position of the cats in the boxes
s_1, \dots, s_n and the desired position f_1, \dots, f_n .

Due to the large amount of paperwork, the scientists do not have time to solve
this problem. Help them for the sake of science and indicate the minimum
number of days required to test the hypothesis.

Input

Each test consists of several test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. This is followed by
descriptions of the test cases.

Each test case consists of three lines.

The first line of each test case contains a single integer n (1 \le n \le 10^5
) — the number of boxes.

The second line of each test case contains a string s of n characters, where
the i -th character is '1' if there is a cat in the i -th box and '0'
otherwise.

The third line of each test case contains a string f of n characters, where
the i -th character is '1' if there should be a cat in the i -th box and '0'
otherwise.

It is guaranteed that in a test the sum of n over all test cases does not
exceed 10^5 .

Output

For each test case, output a single integer on a separate line — the minimum
number of operations required to obtain the desired position from the initial
position. It can be shown that a solution always exists.

Example

Input

    6
    
    5
    
    10010
    
    00001
    
    1
    
    1
    
    1
    
    3
    
    000
    
    111
    
    4
    
    0101
    
    1010
    
    3
    
    100
    
    101
    
    8
    
    10011001
    
    11111110

Output

    2
    0
    3
    2
    1
    4
    
Note

In the first test case, you can first move the cat from the first box to the
fifth, and then remove the cat from the fourth box.

In the second test case, there is nothing to do — the only cat is already
sitting in the correct box.

In the third test case of input data, it takes three days to place a cat in
each box.","t = int(input())
 
for _ in range(t):
    n = int(input())
    s1 = input()
    s2 = input()
 
    hd = 0
    for i in range(n):
        if s1[i] != s2[i]: hd += 1
    res = abs(s1.count(""1"") - s2.count(""1""))
    print(res + abs(hd - res) // 2)",3,True,False,False,True,True,True,True,True,False,False,False,True,True,True,0.6194000735035439,0.1240142105390945,0.5833333333333334
1942_C1,1942_C1_subham_3009_100%,codeforces2024,human,qwen2.5-72b-instruct,"[Proof Geometric Construction Can Solve All Love Affairs -
manbo-p](https://soundcloud.com/alice-law-314125270/manbo-p-proof-geometric-
construction-can-solve-all-love-affairs)

⠀

This is the easy version of the problem. The only difference between the two
versions is the constraint on y . In this version y = 0 . You can make hacks
only if both versions are solved.

Bessie has received a birthday cake from her best friend Elsie, and it came in
the form of a regular polygon with n sides. The vertices of the cake are
numbered from 1 to n clockwise. You and Bessie are going to choose some of
those vertices to cut non-intersecting diagonals into the cake. In other
words, the endpoints of the diagonals must be part of the chosen vertices.

Bessie would only like to give out pieces of cake which result in a triangle
to keep consistency. The size of the pieces doesn't matter, and the whole cake
does not have to be separated into all triangles (other shapes are allowed in
the cake, but those will not be counted).

Bessie has already chosen x of those vertices that can be used to form
diagonals. She wants you to choose no more than y other vertices such that the
number of triangular pieces of cake she can give out is maximized.

What is the maximum number of triangular pieces of cake Bessie can give out?

Input

The first line contains a single integer t (1 \leq t \leq 10^4 ) — the number
of test cases.

The first line of each test case consists of three integers, n , x , and y (4
\leq n \leq 10^9 , 2 \leq x \leq \min(n, 2 \cdot 10^5) , y = 0 ) — the number
of sides of the polygon, number of vertices Bessie has chosen, and the maximum
number of other vertices you can choose.

The second line consists of x distinct integers from 1 to n , representing the
vertices Bessie has chosen.

It is guaranteed the sum of x over all test cases does not exceed 2 \cdot 10^5
.

Output

For each test case, output a single integer: the maximum number of non-
intersecting triangular pieces of cake she can give out.

Example

Input

    3
    
    8 4 0
    
    1 6 2 5
    
    8 8 0
    
    1 3 2 5 4 6 7 8
    
    4 2 0
    
    1 3

Output

    2
    6
    2
    
Note

In test cases 1 , 2 and 3 , you can get 2 , 6 and 2 non-intersecting
triangular pieces of cake, respectively. A possible construction is shown in
the following pictures:

The green dots represent vertices that can be used, the blue lines represent
diagonals that are drawn, and the red numbers represent triangles that are
counted.

![](https://espresso.codeforces.com/80282d636b83d4002ec89755d465b4adb37b9cfb.png)","if __name__ == ""__main__"":
    t=int(input())
    while(t>0):
        t-=1
        [n,x,y]=map(int,input().split())
        arr=input().split()
        arr=[int(arr[i]) for i in range(x)]
        arr.sort()
        arr.append(n+arr[0])
        ans=x-2
        for i in range(1,x+1):
            if(arr[i]-arr[i-1]==2):
                ans+=1
        print(ans)",3,True,False,False,True,True,True,True,True,False,False,False,True,True,True,0.35052561256217385,-0.15420252031460216,0.5
